Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
137,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28-234,1992,11.9,0,6,1,16.7,0.5,0.08,0,0,18,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
138,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,33-058,1988,21.5,0,4,1,25,0.19,0.05,0,0,8.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
139,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22-246,1998,19.6,3,23,8,34.8,1.18,0.41,0.13,0.38,21.3,3,0,0,1.5,1.5,0.07,+1.5,+1.5,Matches
140,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,35-318,1985,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
141,Fabinho\Fabinho,br BRA,DFMF,Liverpool,27-130,1993,17.4,0,4,0,0,0.23,0,0,,21.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
142,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,26-175,1994,24.4,15,77,28,36.4,3.16,1.15,0.1,0.29,22.9,11,7,8,11.7,5.6,0.07,+3.3,+2.4,Matches
143,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,32-009,1989,15.3,0,1,1,100,0.07,0.07,0,0,5.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
144,Fernandinho\Fernandinho,br BRA,MF,Manchester City,35-302,1985,7.8,0,8,1,12.5,1.03,0.13,0,0,19.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
145,Sam Field\Sam-Field,eng ENG,MF,West Brom,22-298,1998,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
146,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,29-151,1991,22.8,6,63,23,36.5,2.76,1.01,0.1,0.26,13.1,0,0,0,10.5,10.5,0.17,-4.5,-4.5,Matches
147,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,29-190,1991,16.6,0,13,4,30.8,0.78,0.24,0,0,22.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
148,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20-278,2000,13.7,6,32,14,43.8,2.34,1.03,0.19,0.43,14.4,0,0,0,3.5,3.5,0.11,+2.5,+2.5,Matches
149,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,20-075,2000,15.5,0,7,0,0,0.45,0,0,,8.8,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
150,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,25-008,1996,19,2,28,8,28.6,1.47,0.42,0.07,0.25,15,0,0,0,4,4,0.14,-2,-2,Matches
151,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,32-350,1988,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
152,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,23-059,1998,0.9,0,1,0,0,1.13,0,0,,28.4,0,0,0,0,0,0.03,0,0,Matches
153,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Newcastle Utd,27-006,1994,7.5,0,9,4,44.4,1.21,0.54,0,0,21.2,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
154,Fred\Fred,br BRA,MF,Manchester Utd,27-362,1993,17.6,0,20,5,25,1.14,0.28,0,0,22.1,0,0,0,1,1,0.05,-1,-1,Matches
155,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,28-143,1992,4.9,1,2,2,100,0.41,0.41,0.5,0.5,11.6,0,0,0,0.2,0.2,0.1,+0.8,+0.8,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,34-329,1986,7.8,0,4,0,0,0.51,0,0,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
157,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,25-122,1995,20.6,1,16,3,18.8,0.78,0.15,0.06,0.33,13.5,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
158,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,21-024,2000,19.1,2,21,6,28.6,1.1,0.31,0.1,0.33,21.5,0,0,0,1,1,0.05,+1.0,+1.0,Matches
159,Eric García\Eric-Garcia,es ESP,DF,Manchester City,20-052,2001,2.2,0,1,0,0,0.45,0,0,,33,0,0,0,0,0,0.01,0,0,Matches
160,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,30-136,1990,2,1,6,2,33.3,3.05,1.02,0.17,0.5,13.9,1,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
161,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,30-115,1990,23.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
162,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,25-303,1995,8,6,30,17,56.7,3.74,2.12,0.13,0.24,19.7,2,2,2,4.3,2.8,0.09,+1.7,+1.2,Matches
163,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,31-157,1989,9,0,1,0,0,0.11,0,0,,12.1,0,0,0,0,0,0.05,0,0,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,FWMF,Wolves,21-034,2000,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,19-264,2001,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,34-153,1986,7.9,4,24,9,37.5,3.06,1.15,0.17,0.44,10.9,0,0,0,3.9,3.9,0.16,+0.1,+0.1,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Everton,23-046,1998,17.7,0,4,1,25,0.23,0.06,0,0,9.8,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,27-215,1993,12.3,0,6,0,0,0.49,0,0,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
169,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,23-283,1997,6.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
170,Anthony Gordon\Anthony-Gordon,eng ENG,FWMF,Everton,20-006,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
171,Karlan Grant\Karlan-Grant,eng ENG,FWMF,West Brom,23-165,1997,12,1,16,9,56.3,1.34,0.75,0.06,0.11,15,1,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches
172,Demarai Gray\Demarai-Gray,eng ENG,FW,Leicester City,24-247,1996,0.2,0,1,0,0,4.74,0,0,,29,1,0,0,0,0,0.04,0,0,Matches
173,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,25-173,1995,22,6,46,16,34.8,2.09,0.73,0.13,0.38,16.4,2,0,0,4.2,4.2,0.09,+1.8,+1.8,Matches
174,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,19-152,2001,12.2,1,33,9,27.3,2.71,0.74,0.03,0.11,17.4,0,0,0,3,3,0.09,-2,-2,Matches
175,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,29-260,1991,15.9,2,20,3,15,1.26,0.19,0,0,20.1,3,2,3,3.9,1.6,0.08,-1.9,-1.6,Matches
176,Kamil Grosicki\Kamil-Grosicki,pl POL,FWMF,West Brom,32-267,1988,1.6,0,3,0,0,1.82,0,0,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
177,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,34-051,1987,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
178,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,30-129,1990,17.2,11,36,15,41.7,2.09,0.87,0.28,0.67,15.7,2,1,2,7.3,5.8,0.16,+3.7,+4.2,Matches
179,Antwoine Hackford\Antwoine-Hackford,eng ENG,DFFW,Sheffield Utd,16-347,2004,0.1,0,1,0,0,8.18,0,0,,12.1,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
180,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,26-253,1994,10.4,3,25,11,44,2.4,1.06,0.12,0.27,9.5,0,0,0,2.9,2.9,0.12,+0.1,+0.1,Matches
181,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,20-359,2000,0.4,0,1,1,100,2.81,2.81,0,0,23,0,0,0,0,0,0.04,0,0,Matches
182,Jack Harrison\Jack-Harrison,eng ENG,MF,Leeds United,24-102,1996,21.7,6,33,12,36.4,1.52,0.55,0.18,0.5,16,1,0,0,4.5,4.5,0.14,+1.5,+1.5,Matches
183,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,25-229,1995,4,1,3,1,33.3,0.75,0.25,0.33,1,6.4,0,0,0,1.1,1.1,0.36,-0.1,-0.1,Matches
184,Kai Havertz\Kai-Havertz,de GER,MFFW,Chelsea,21-264,1999,10.9,1,13,4,30.8,1.19,0.37,0.08,0.25,14.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
185,Isaac Hayden\Isaac-Hayden,eng ENG,MFDF,Newcastle Utd,25-345,1995,19.1,0,12,2,16.7,0.63,0.1,0,0,20.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
186,Michael Hector\Michael-Hector,jm JAM,DF,Fulham,28-226,1992,2.9,0,1,0,0,0.34,0,0,,10,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
187,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,30-036,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
188,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,23-355,1997,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
189,Jordan Henderson\Jordan-Henderson,eng ENG,MFDF,Liverpool,30-258,1990,18.9,1,14,4,28.6,0.74,0.21,0.07,0.25,17.6,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
190,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Newcastle Utd,29-030,1992,14.5,2,11,2,18.2,0.76,0.14,0.18,1,17.6,0,0,0,1.1,1.1,0.1,+0.9,+0.9,Matches
191,Pablo Hernández\Pablo-Hernandez,es ESP,MF,Leeds United,35-325,1985,3.8,0,10,1,10,2.64,0.26,0,0,17.6,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
192,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,28-237,1992,23.9,13,47,26,55.3,1.97,1.09,0.28,0.5,17.1,1,0,0,7.5,7.5,0.16,+5.5,+5.5,Matches
193,Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,19-043,2002,3.4,0,1,0,0,0.29,0,0,,18.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
194,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,25-163,1995,20.4,0,14,2,14.3,0.69,0.1,0,0,12.2,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
195,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,24-131,1996,14.8,1,4,2,50,0.27,0.14,0.25,0.5,11.8,0,0,0,0.7,0.7,0.19,+0.3,+0.3,Matches
196,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,30-028,1991,2.5,1,5,2,40,2,0.8,0.2,0.5,21.3,1,0,0,0.5,0.5,0.1,+0.5,+0.5,Matches
197,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,20-115,2000,9.1,2,17,4,23.5,1.86,0.44,0.12,0.5,18.9,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches
198,Niall Huggins\Niall-Huggins,wal WAL,DF,Leeds United,20-074,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
199,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,25-209,1995,25,1,9,4,44.4,0.36,0.16,0.11,0.25,24.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
200,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,31-259,1989,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
201,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,24-150,1996,5.4,1,15,3,20,2.8,0.56,0.07,0.33,15.5,0,0,1,1.9,1.2,0.08,-0.9,-0.2,Matches
202,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,28-222,1992,18.6,8,39,18,46.2,2.1,0.97,0.15,0.33,15.6,0,2,2,6.3,4.8,0.12,+1.7,+1.2,Matches
203,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,37-008,1984,8.4,0,4,1,25,0.48,0.12,0,0,6.5,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
204,Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,24-303,1996,12.5,1,10,3,30,0.8,0.24,0.1,0.33,19,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
205,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,38-197,1982,4.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
206,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,27-203,1993,2.9,0,12,2,16.7,4.11,0.68,0,0,15.3,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
207,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,23-112,1997,5.9,3,14,6,42.9,2.37,1.02,0.21,0.5,17.4,0,0,0,1.5,1.5,0.11,+1.5,+1.5,Matches
208,Reece James\Reece-James,eng ENG,DF,Chelsea,21-084,1999,16.9,1,26,10,38.5,1.54,0.59,0.04,0.1,20.3,3,0,0,1.2,1.2,0.04,-0.2,-0.2,Matches
209,Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,19-067,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
210,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,23-333,1997,13.7,4,29,8,27.6,2.12,0.58,0.14,0.5,12.4,0,0,0,4.8,4.8,0.17,-0.8,-0.8,Matches
211,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,29-301,1991,9.1,4,26,10,38.5,2.84,1.09,0.15,0.4,15.4,0,0,0,2.4,2.4,0.09,+1.6,+1.6,Matches
212,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,24-200,1996,14.1,1,27,11,40.7,1.92,0.78,0.04,0.09,15.6,0,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
213,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,21-037,2000,3.6,1,1,1,100,0.27,0.27,1,1,10.2,0,0,0,0.3,0.3,0.33,+0.7,+0.7,Matches
214,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,27-342,1993,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
215,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,20-031,2001,11.4,1,18,8,44.4,1.58,0.7,0.06,0.13,18.5,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
216,Jorginho\Jorginho,it ITA,MF,Chelsea,29-072,1991,13,5,4,0,0,0.31,0,0,,42.1,0,5,7,5.4,0.1,0.03,-0.4,-0.1,Matches
217,Willian José\Willian-Jose,br BRA,FW,Wolves,29-099,1991,5.7,0,8,3,37.5,1.4,0.53,0,0,10.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
218,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,24-088,1996,5.6,5,20,11,55,3.58,1.97,0.25,0.45,14.8,0,0,0,2.4,2.4,0.12,+2.6,+2.6,Matches
219,James Justin\James-Justin,eng ENG,DF,Leicester City,23-007,1998,23,2,10,3,30,0.43,0.13,0.2,0.67,14.9,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches
220,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,20-342,2000,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
221,Aboubakar Kamara\Aboubakar-Kamara,fr FRA,FWDF,Fulham,25-360,1995,3.5,0,4,2,50,1.14,0.57,0,0,20.7,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
222,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,27-217,1993,22.4,14,85,30,35.3,3.8,1.34,0.13,0.37,18.2,7,3,3,11.8,9.6,0.11,+2.2,+1.4,Matches
223,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,29-338,1991,19,0,5,1,20,0.26,0.05,0,0,22.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
224,Moise Kean\Moise-Kean,it ITA,FW,Everton,21-002,2000,0.2,0,1,0,0,6,0,0,,23.1,0,0,0,0,0,0.03,0,0,Matches
225,Michael Keane\Michael-Keane,eng ENG,DF,Everton,28-050,1993,22.2,3,11,5,45.5,0.49,0.22,0.27,0.6,11.1,0,0,0,1,1,0.09,+2.0,+2.0,Matches
226,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,28-357,1992,1.3,0,6,0,0,4.54,0,0,,18.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
227,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,26-020,1995,4.5,0,7,1,14.3,1.55,0.22,0,0,18.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
228,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,22-099,1998,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
229,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,23-352,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
230,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,19-241,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
231,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,23-283,1997,12.5,0,5,1,20,0.4,0.08,0,0,8.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
232,Joshua King\Joshua-King,no NOR,FWMF,Everton,29-046,1992,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
233,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,30-262,1990,22.5,3,27,7,25.9,1.2,0.31,0.04,0.14,22.7,0,2,2,2.9,1.3,0.05,+0.1,-0.3,Matches
234,Robin Koch\Robin-Koch,de GER,DF,Leeds United,24-228,1996,10.1,0,7,2,28.6,0.69,0.2,0,0,9.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
235,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,27-255,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
236,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,23-130,1997,21.5,2,10,4,40,0.46,0.19,0.2,0.5,8.6,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
237,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,31-071,1989,22.7,1,7,2,28.6,0.31,0.09,0.14,0.5,9.6,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
238,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,26-300,1994,15.9,0,19,4,21.1,1.2,0.25,0,0,23.1,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
239,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,26-212,1994,7.7,0,1,1,100,0.13,0.13,0,0,29.7,0,0,0,0,0,0.02,0,0,Matches
240,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,25-185,1995,6.1,0,8,2,25,1.32,0.33,0,0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
241,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29-278,1991,15.7,9,29,20,69,1.84,1.27,0.24,0.35,13,2,2,2,6.8,5.3,0.18,+2.2,+1.7,Matches
242,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,32-296,1988,10.2,0,10,0,0,0.98,0,0,,16.5,0,0,0,1,1,0.1,-1,-1,Matches
243,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,28-363,1992,5.6,0,15,6,40,2.66,1.07,0,0,20.3,4,0,0,1,1,0.06,-1,-1,Matches
244,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,20-153,2000,9.8,1,6,2,33.3,0.61,0.2,0.17,0.5,12.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
245,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,28-015,1993,4.2,1,10,3,30,2.37,0.71,0.1,0.33,17.1,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
246,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,26-279,1994,8.4,0,5,1,20,0.59,0.12,0,0,12.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
247,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,27-111,1993,14.1,1,12,2,16.7,0.85,0.14,0.08,0.5,9.6,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
248,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,31-142,1989,1.4,0,1,0,0,0.73,0,0,,33,0,0,0,0,0,0.01,0,0,Matches
249,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,27-182,1993,9.4,0,8,0,0,0.86,0,0,,25,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
250,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,28-363,1992,24.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
251,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,23-036,1998,20.3,0,3,1,33.3,0.15,0.05,0,0,18.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
252,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,26-228,1994,19.7,1,4,1,25,0.2,0.05,0.25,1,5.9,0,0,0,0.6,0.6,0.16,+0.4,+0.4,Matches
253,Jesse Lingard\Jesse-Lingard,eng ENG,FWMF,West Ham,28-077,1992,4.9,3,16,9,56.3,3.28,1.85,0.19,0.33,19.4,0,0,0,1.3,1.3,0.08,+1.7,+1.7,Matches
254,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,31-108,1989,13.6,0,5,0,0,0.37,0,0,,19.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
255,Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,27-198,1993,3,0,2,2,100,0.66,0.66,0,0,9.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
256,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,34-066,1986,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
257,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,24-327,1996,4.9,1,9,5,55.6,1.85,1.03,0.11,0.2,16.4,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
258,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,25-038,1996,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
259,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,25-038,1996,16.5,1,30,8,26.7,1.82,0.49,0.03,0.13,15.3,0,0,0,2.5,2.5,0.08,-1.5,-1.5,Matches
260,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,30-196,1990,7.1,0,2,0,0,0.28,0,0,,8.3,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
261,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,34-039,1987,2.3,0,2,1,50,0.86,0.43,0,0,19.1,0,0,0,0,0,0.02,0,0,Matches
262,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,20-346,2000,4.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
263,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,23-123,1997,9.2,0,8,4,50,0.87,0.44,0,0,21.1,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
264,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,23-133,1997,21.4,4,52,19,36.5,2.43,0.89,0.08,0.21,17.8,3,0,1,4.4,3.6,0.07,-0.4,+0.4,Matches
265,Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,23-295,1997,6.1,0,2,1,50,0.33,0.16,0,0,23,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
266,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,31-266,1989,22,1,12,2,16.7,0.55,0.09,0.08,0.5,22.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
267,David Luiz\David-Luiz,br BRA,DF,Arsenal,33-314,1987,11.9,1,11,0,0,0.92,0,0.09,,19.1,3,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
268,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,22-297,1998,20.3,0,20,6,30,0.98,0.3,0,0,23.2,1,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
269,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,27-012,1994,17.3,0,18,4,22.2,1.04,0.23,0,0,23,1,0,1,2,1.2,0.07,-2,-1.2,Matches
270,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,22-068,1998,8.3,1,20,3,15,2.41,0.36,0.05,0.33,20.4,1,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
271,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,24-099,1996,18.1,8,54,18,33.3,2.99,1,0.15,0.44,24.2,11,0,0,3.4,3.4,0.06,+4.6,+4.6,Matches
272,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,27-362,1993,26,2,29,9,31,1.12,0.35,0.07,0.22,11.3,0,0,0,1.6,1.6,0.06,+0.4,+0.4,Matches
273,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,30-009,1991,15.4,6,38,13,34.2,2.46,0.84,0.16,0.46,16.2,1,0,0,3.4,3.4,0.09,+2.6,+2.6,Matches
274,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,23-185,1997,5.4,0,2,1,50,0.37,0.18,0,0,20.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
275,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,23-185,1997,4,0,2,1,50,0.5,0.25,0,0,16.3,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
276,Josh Maja\Josh-Maja,ng NGA,FW,Fulham,22-065,1998,3.9,2,10,5,50,2.58,1.29,0.2,0.4,15.5,0,0,0,2.7,2.7,0.27,-0.7,-0.7,Matches
