Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Interceptions,Tkl+Int,Clearances,Errors
148,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,26-249,1994,33.4,1.8,1.17,0.54,2.1,5.18,3.47,10,7.4,1.2,0.6,2.4,0.81,0
149,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,32-083,1989,21.1,1.52,0.71,0.62,0.52,2.32,5.92,2.13,0.33,2.42,0.76,2.27,7.06,0.05
150,Fernandinho\Fernandinho,br BRA,MF,Manchester City,36-011,1985,11.8,2.37,1.61,0.93,2.03,5.68,3.47,10.7,2.63,0.76,1.95,4.32,2.63,0
151,Sam Field\Sam-Field,eng ENG,MF,West Brom,23-007,1998,0.7,12.9,10,2.86,1.43,14.3,11.4,18.6,1.43,8.57,0,12.9,5.71,0
152,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,29-225,1991,28.7,1.18,0.73,0.38,0.84,5.19,2.13,8.82,7.8,1.88,0.31,1.5,0.31,0
153,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,29-264,1991,25.6,1.56,0.86,0.47,1.76,4.57,6.48,8.87,3.09,1.41,1.29,2.85,0.66,0.04
154,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20-352,2000,16.3,1.53,0.98,0.55,0.61,5.09,2.76,6.2,7.85,0.74,0.74,2.27,0.55,0
155,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,20-149,2000,23.9,2.51,1.67,0.71,0.63,3.35,5.19,4.1,0.33,1.88,2.05,4.56,5.06,0
156,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,25-082,1996,25.6,1.41,0.94,0.27,2.7,4.06,6.05,9.45,4.14,1.91,1.02,2.42,0.23,0.04
157,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,33-059,1988,8,0,0,0,0.13,0.13,0.38,0,0,0,0,0,0.5,0
158,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,23-133,1998,0.9,3.33,1.11,1.11,0,2.22,3.33,4.44,0,1.11,1.11,4.44,1.11,0
159,Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,27-080,1994,10.3,0.39,0.1,0,0.19,1.84,1.75,4.95,4.37,0.78,0.29,0.68,0.29,0
160,Fred\Fred,br BRA,MF,Manchester Utd,28-071,1993,25.6,3.32,2.11,1.09,2.15,7.66,8.79,11.5,4.1,2.38,1.84,5.16,1.21,0
161,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,28-217,1992,6.3,2.06,0.95,0.95,1.11,2.06,6.03,2.22,2.06,2.54,1.27,3.33,3.49,0
162,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,35-038,1986,7.8,1.92,1.15,0.64,1.15,2.95,6.79,3.46,0.9,2.05,1.54,3.46,3.97,0
163,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,25-196,1995,29.6,1.35,0.47,0.51,0.71,2.3,3.95,3.07,1.55,2.47,0.84,2.2,3.68,0.03
164,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,21-098,2000,25.1,2.87,1.91,0.76,2.63,6.29,8.13,12.4,4.38,2.19,1.31,4.18,1,0
165,Eric García\Eric-Garcia,es ESP,DF,Manchester City,20-126,2001,3.4,2.35,0.88,0.59,1.18,2.35,5.59,3.24,0.29,0.88,1.18,3.53,2.65,0
166,Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,30-210,1990,4.9,1.02,0.61,0.2,0.82,4.29,2.24,6.53,7.35,0.61,0.2,1.22,0,0
167,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,25-232,1995,0.1,10,10,0,10,20,0,10,30,10,0,10,10,0
168,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,30-189,1990,24.5,0,0,0,0,0,0,0,0,0,0,0,0.04,0
169,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,26-012,1995,15.1,0.86,0.6,0.2,0.73,3.11,3.38,4.77,4.3,0.73,0.46,1.32,0.66,0
170,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,31-231,1989,9,1.56,0.67,0.33,0.44,2.22,4.67,3.33,0.89,1.89,1.56,3.11,3.67,0
171,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,FWMF,Wolves,21-108,2000,2.7,0.74,0.74,0.37,1.85,6.3,2.96,5.56,8.15,1.85,1.11,1.85,0.37,0
172,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,19-338,2001,2.9,1.38,0.34,0.69,1.72,5.86,8.28,11.7,3.45,1.72,1.38,2.76,0.69,0
173,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,34-227,1986,8.3,0.96,0.48,0,0.36,4.1,1.81,6.02,7.95,0.36,0.48,1.45,1.2,0
174,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Everton,23-120,1998,26.8,1.94,1.04,0.86,0.34,3.84,8.13,3.32,0.67,2.87,1.49,3.43,4.48,0
175,André Gomes\Andre-Gomes,pt POR,MF,Everton,27-289,1993,17.2,2.79,1.98,1.1,2.27,6.74,7.09,10.8,3.43,1.69,0.87,3.66,0.52,0
176,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,23-357,1997,6.6,0.76,0.3,0,0.61,2.27,3.64,1.97,0.3,1.06,0.76,1.52,4.85,0.3
177,Anthony Gordon\Anthony-Gordon,eng ENG,FWMF,Everton,20-080,2001,1,3,2,0,2,3,5,9,4,2,1,4,1,0
178,Karlan Grant\Karlan-Grant,eng ENG,FWMF,West Brom,23-239,1997,12.3,0.49,0.24,0.24,0.24,3.25,1.87,5.12,6.26,0.57,0.89,1.38,1.06,0
179,Demarai Gray\Demarai-Gray,eng ENG,FW,Leicester City,24-321,1996,0.2,10,5,0,0,5,10,0,5,0,0,10,0,0
180,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,25-247,1995,22.2,1.08,0.72,0.14,0.63,4.19,3.29,4.77,4.86,1.13,0.5,1.58,0.18,0.05
181,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,19-226,2001,19.3,0.98,0.62,0.21,0.93,3.68,2.69,5.85,4.51,0.31,0.41,1.4,0.16,0
182,Pascal Groß\Pascal-Gross,de GER,MFDF,Brighton,29-334,1991,24.6,1.59,0.89,0.65,0.93,3.74,4.55,6.79,3.41,1.1,0.93,2.52,0.89,0
183,Kamil Grosicki\Kamil-Grosicki,pl POL,FWMF,West Brom,32-341,1988,1.6,0.63,0,0.63,3.13,1.88,6.88,5,1.88,0.63,0,0.63,1.25,0
184,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,34-125,1987,35,0,0,0,0.03,0.03,0.11,0,0,0,0,0,0.03,0
185,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,30-203,1990,21.9,1.1,0.78,0.37,1.32,2.83,1.92,4.61,3.06,0.59,0.87,1.96,0.59,0
186,Antwoine Hackford\Antwoine-Hackford,eng ENG,DFFW,Sheffield Utd,17-056,2004,0.1,0,0,0,0,20,0,0,30,10,0,0,0,0
187,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,26-327,1994,10.4,1.06,0.38,0.38,1.35,4.04,1.15,11.1,6.92,0.38,0.48,1.54,0.67,0
188,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,21-068,2000,0.4,5,2.5,2.5,0,0,5,17.5,2.5,0,0,5,0,0
189,Jack Harrison\Jack-Harrison,eng ENG,MF,Leeds United,24-176,1996,28.6,2.17,1.12,0.59,0.98,5.56,5.21,6.99,7.69,1.29,0.87,3.04,0.84,0
190,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,25-303,1995,4,1,1,0,0,1.5,2.25,1.5,0.25,1,0.75,1.75,8.5,0
191,Kai Havertz\Kai-Havertz,de GER,MFFW,Chelsea,21-338,1999,16.6,1.14,0.66,0.24,1.14,3.49,2.35,7.59,5.66,1.57,0.66,1.81,0.9,0.06
192,Isaac Hayden\Isaac-Hayden,eng ENG,MFDF,Newcastle Utd,26-054,1995,21.6,2.31,1.57,0.32,0.93,4.68,7.31,8.98,2.55,1.94,2.13,4.44,2.64,0.05
193,Michael Hector\Michael-Hector,jm JAM,DF,Fulham,28-300,1992,2.9,2.41,1.72,1.03,1.38,3.79,7.24,2.41,0,2.07,0,2.41,3.79,0
194,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,30-110,1991,1,0,0,0,0,4,8,2,0,2,0,0,11,0
195,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,24-064,1997,11.5,0,0,0,0.09,0.09,0.35,0,0,0,0,0,0,0
196,Jordan Henderson\Jordan-Henderson,eng ENG,MFDF,Liverpool,30-332,1990,18.9,1.01,0.48,0.42,1.11,3.17,3.17,4.5,2.06,1.48,1.53,2.54,2.28,0.05
197,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Newcastle Utd,29-104,1992,15.7,0.38,0.25,0.13,0.76,2.99,2.55,6.56,1.78,1.46,0.76,1.15,1.78,0
198,Pablo Hernández\Pablo-Hernandez,es ESP,MF,Leeds United,36-034,1985,4,1.25,0.5,1,3.5,4.5,2.5,9.5,5,0.5,1,2.25,0.25,0
199,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,28-311,1992,31.6,0.79,0.41,0.38,1.68,3.99,3.42,9.27,5.16,0.98,0.66,1.46,0.13,0
200,Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,19-117,2002,5.4,2.78,1.48,1.3,1.85,4.44,12.4,6.85,1.3,1.11,1.67,4.44,2.59,0
201,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,25-237,1995,26.4,1.33,0.68,0.34,0.68,3.14,6.17,3.67,0.53,1.86,0.76,2.08,5.64,0
202,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,24-205,1996,23.9,2.59,1.46,0.88,1.26,3.68,6.11,4.35,1.55,2.18,1.59,4.18,4.35,0.08
203,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,30-102,1991,2.5,0,0,0,0.8,2.4,1.6,2.4,2.8,1.2,0,0,0.8,0
204,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,20-189,2000,11.8,2.03,1.02,0.59,0.93,4.58,3.14,6.02,4.41,1.53,0.85,2.88,0.68,0
205,Niall Huggins\Niall-Huggins,wal WAL,DF,Leeds United,20-148,2000,0.4,0,0,0,5,2.5,10,7.5,5,0,0,0,0,0
206,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,25-283,1995,35,3.14,2.14,1.63,1.97,6.09,8.54,10.3,2.31,1.57,1.34,4.49,2.26,0
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,31-333,1989,0.1,0,0,0,10,0,10,0,10,0,0,0,0,0
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,24-224,1996,14.9,0.74,0.54,0.2,0.74,3.15,1.01,7.72,6.04,1.14,0.27,1.01,0.07,0
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,28-296,1992,22.1,1.09,0.54,0.45,0.9,3.98,2.44,6.7,6.88,2.04,0.32,1.4,0.77,0.09
210,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,37-082,1984,8.5,1.65,0.59,0.59,0.82,2.12,6.35,3.29,0.12,1.76,0.35,2,3.65,0
211,Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,25-012,1996,16.8,1.96,1.25,0.83,0.77,4.35,5.36,3.99,3.39,1.31,1.07,3.04,0.71,0
212,José Izquierdo\Jose-Izquierdo,co COL,DFMF,Brighton,28-312,1992,0.1,0,0,0,0,0,0,0,10,0,0,0,0,0
213,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,38-271,1982,5.8,1.55,0.69,0.86,1.03,2.93,6.9,2.76,0,2.59,2.07,3.62,7.93,0.34
214,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,27-277,1993,4,1.5,0.75,0.5,1.75,4.75,1.75,5.5,7.5,1.5,1,2.5,0,0
215,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,23-186,1997,9.1,1.21,0.99,0.11,2.31,4.62,4.07,8.57,8.79,1.32,1.1,2.31,0.33,0
216,Reece James\Reece-James,eng ENG,DF,Chelsea,21-158,1999,24.4,2.46,1.39,0.78,1.15,3.61,6.31,5.78,1.84,2.3,1.64,4.1,1.8,0
217,Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,19-141,2001,0,2,0,1,0,2,4,4,0,0,0,2,0,0
218,Daniel Jebbison\Daniel-Jebbison,eng ENG,FW,Sheffield Utd,17-308,2003,0.3,0,0,0,0,0,0,3.33,10,0,0,0,0,0
219,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,24-042,1997,22,1,0.55,0.32,0.91,4.45,1.68,5.14,7.73,0.86,0.86,1.86,0.18,0
220,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,30-010,1991,9.1,0.77,0.44,0,0.77,2.42,1.32,3.96,4.62,0.88,0.66,1.43,1.1,0.11
221,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,24-274,1996,21.5,1.95,1.16,0.6,1.12,4.47,4.09,9.16,4.88,1.72,0.93,2.88,0.98,0
222,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,21-111,2000,5.8,1.55,0.52,0.86,0.69,2.24,7.76,3.79,2.41,1.72,1.9,3.45,2.41,0
223,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,28-051,1993,34,0,0,0,0,0.06,0.09,0,0,0.03,0,0,0,0.03
224,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,20-105,2001,12.5,1.68,1.28,0.8,1.04,5.36,3.76,8.56,5.6,1.36,1.36,3.04,0.8,0.08
225,Jorginho\Jorginho,it ITA,MF,Chelsea,29-146,1991,20.7,2.56,1.64,0.97,2.27,7.49,7.58,10.7,2.71,1.88,2.32,4.88,0.92,0.05
226,Willian José\Willian-Jose,br BRA,FW,Wolves,29-173,1991,11.1,0.09,0.09,0,0.36,2.7,0.36,5.32,4.05,0.63,0.27,0.36,0.9,0
227,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,24-162,1996,12.3,1.14,0.81,0.41,2.44,6.18,4.88,8.54,10.7,0.98,0.65,1.79,0.33,0
228,James Justin\James-Justin,eng ENG,DF,Leicester City,23-081,1998,23,2.74,1.22,0.74,1.13,4.78,7.96,4.65,2.48,2.35,1.09,3.83,2.78,0
229,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,21-051,2000,8.9,2.13,1.12,0.22,0.56,4.61,6.52,4.49,0.56,0.56,1.35,3.48,5.51,0.11
230,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWDF,Fulham,26-069,1995,3.5,0.57,0.57,0.29,1.14,3.71,3.71,7.71,8.86,2.86,0.57,1.14,0.57,0
231,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,27-291,1993,31.2,0.54,0.35,0.16,0.45,2.88,0.64,5.8,5.22,0.93,0.45,0.99,1.25,0
232,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,30-047,1991,23.5,3.7,2.43,1.23,1.32,6.94,8.72,8.98,2.64,2.55,2.64,6.34,1.32,0
233,Moise Kean\Moise-Kean,it ITA,FW,Everton,21-076,2000,0.2,0,0,0,0,0,0,0,5,0,0,0,0,0
234,Michael Keane\Michael-Keane,eng ENG,DF,Everton,28-124,1993,30.2,0.89,0.46,0.3,0.6,1.92,3.91,1.72,0.3,2.19,1.23,2.12,5.96,0.07
235,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,29-066,1992,1.3,0.77,0.77,0.77,1.54,6.92,3.08,10,10,3.85,0,0.77,0.77,0
236,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,26-094,1995,5.8,1.21,0.86,0.34,2.76,6.38,3.1,12.9,8.79,1.9,2.07,3.28,1.03,0
237,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,22-173,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,24-061,1997,0.9,1.11,0,0,1.11,1.11,4.44,4.44,3.33,2.22,1.11,2.22,1.11,0
239,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,19-315,2001,0.1,0,0,0,0,10,0,0,10,0,0,0,0,0
240,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,23-357,1997,13.6,1.91,1.4,0.74,0.74,3.01,6.99,2.28,0.51,1.1,1.25,3.16,3.9,0
241,Joshua King\Joshua-King,no NOR,MFFW,Everton,29-120,1992,1.6,2.5,0.63,0.63,0,6.88,8.75,10.6,8.13,1.88,0.63,3.13,0.63,0
242,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,30-336,1990,25.8,1.94,1.59,0.35,1.9,6.28,4.84,11.9,4.61,0.81,0.62,2.56,0.89,0
243,Robin Koch\Robin-Koch,de GER,DFMF,Leeds United,24-302,1996,12.6,2.3,1.43,0.95,0.95,3.81,7.22,6.35,0.95,2.46,1.03,3.33,3.17,0.16
244,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,27-329,1993,1,0,0,0,0,1,0,2,1,0,0,0,0,0
245,Terence Kongolo\Terence-Kongolo,nl NED,DF,Fulham,27-090,1994,1,4,4,0,0,8,6,7,1,2,0,4,6,0
246,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,23-204,1997,32.5,0.95,0.58,0.28,0.22,1.97,3.72,2.34,0.34,1.69,0.71,1.66,5.42,0
247,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,31-145,1989,31.7,1.96,1.04,0.69,0.57,2.97,6.56,2.46,0.47,1.67,1.1,3.06,4.92,0.06
248,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,27-009,1994,18.8,2.55,1.65,0.43,1.17,5.69,4.84,8.24,3.46,0.74,1.12,3.67,0.59,0.05
249,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,26-286,1994,12.5,1.84,1.28,0.8,1.12,3.92,6.48,4.32,1.44,2.24,1.44,3.28,4,0.08
250,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,25-259,1995,6.1,2.62,1.64,0.82,2.13,3.61,5.9,8.69,2.3,0.82,0.33,2.95,0.98,0
251,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29-352,1991,21.2,1.18,0.9,0.19,0.57,5,1.89,6.32,7.22,0.8,0.66,1.84,0.61,0
252,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,33-005,1988,16.5,1.76,1.45,0.48,2.3,5.88,6,8.36,4.06,1.52,0.97,2.73,0.79,0
253,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,29-072,1992,8,2.25,1.38,0.5,1,6.13,3.88,12.8,6.25,1,0.5,2.75,0.13,0
254,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,20-227,2000,9.8,1.73,1.02,0.71,0.71,4.18,5,5.41,2.24,1.53,1.33,3.06,1.73,0
255,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,28-089,1993,6.3,0.95,0.95,0.32,1.75,5.87,5.24,7.62,4.44,2.38,0.95,1.9,0.79,0
256,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,26-353,1994,14.9,0.87,0.4,0.2,0.4,1.61,3.22,1.81,0.4,1.21,0.54,1.41,3.56,0.07
257,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,27-185,1993,18.1,1.05,0.66,0.22,0.11,2.93,4.92,2.87,0.39,2.15,0.83,1.88,5.97,0.06
258,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,31-216,1989,1.4,1.43,0.71,0.71,0,1.43,4.29,1.43,0.71,0,0,1.43,5,0
259,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,27-256,1993,17.9,2.96,1.84,0.84,1.17,5.53,6.42,8.1,2.29,1.56,2.29,5.25,1.96,0
260,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,29-072,1992,32.8,0,0,0,0,0.06,0.09,0,0,0.03,0,0,0,0
261,Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,21-239,1999,0.1,10,0,10,0,0,0,20,20,0,0,10,0,0
262,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,23-110,1998,20.4,2.45,1.27,1.03,0.98,3.97,8.82,5.98,1.67,1.72,0.98,3.43,1.72,0.05
263,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,26-302,1994,27.7,0.9,0.54,0.43,0.32,2.31,4.15,2.27,0.25,1.37,1.05,1.95,4.55,0.07
264,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,28-151,1992,12.8,0.94,0.7,0.39,0.7,4.69,3.13,11.3,5.7,0.47,0.55,1.48,0,0
265,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,31-182,1989,13.6,2.13,1.4,0.81,1.54,4.85,5.29,9.63,2.72,2.43,1.4,3.53,2.43,0
266,Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,27-272,1993,11.9,2.94,2.1,1.26,0.76,6.55,10.8,7.23,0.34,1.85,3.11,6.05,4.87,0.08
267,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,34-140,1986,35,0,0,0,0.03,0,0.06,0,0,0,0,0,0.06,0.03
268,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,25-036,1996,9.7,2.99,2.06,0.72,2.06,8.25,8.97,13.9,4.54,1.03,0.82,3.81,0.82,0
269,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,25-112,1996,0.7,0,0,0,0,5.71,4.29,10,5.71,1.43,1.43,1.43,0,0
270,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,25-112,1996,20.4,1.52,1.03,0.39,0.59,4.71,2.99,8.24,4.66,1.13,1.03,2.55,0.74,0
271,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,30-270,1990,7.1,1.97,1.13,0.7,0.42,2.82,4.79,2.54,0.14,1.27,0.56,2.54,4.37,0
272,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,34-113,1987,2.3,0.87,0,0.43,0.87,3.04,0.87,8.26,5.65,0.43,0.87,1.74,0.43,0
273,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,21-055,2000,4.2,0.95,0.71,0.48,0.95,5.95,7.14,13.8,2.38,2.14,1.43,2.38,0.71,0
274,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,23-197,1997,14.5,2.28,1.31,1.38,2.48,6.14,10.4,11.6,2.9,1.79,1.17,3.45,1.31,0.07
275,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,23-207,1997,28.5,1.33,1.02,0.14,0.95,5.19,3.51,7.68,5.72,1.44,0.88,2.21,0.39,0
276,Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,24-004,1997,6.1,3.77,2.3,1.15,2.13,6.07,9.84,8.36,3.11,3.44,0.49,4.26,1.97,0.16
277,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,31-340,1989,31,2.03,1.1,1,1.13,2.39,3.77,3.32,1.13,1.87,1.48,3.52,3.42,0.06
278,David Luiz\David-Luiz,br BRA,DF,Arsenal,34-023,1987,15.5,0.97,0.58,0.32,0.13,2.39,3.29,2.52,0.32,1.48,0.77,1.74,4.32,0
279,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,23-006,1998,29.7,2.02,1.35,0.61,1.41,5.08,7.74,9.66,2.42,1.92,1.08,3.1,1.58,0
280,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,27-086,1994,22.6,1.15,0.53,0.4,1.5,3.32,4.78,7.61,3.1,1.73,0.93,2.08,1.5,0.04
281,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,22-142,1998,10.7,2.24,1.59,0.65,2.24,7.29,5.79,10.2,6.54,1.87,0.75,2.99,0.47,0
282,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,24-173,1996,22,1.59,1.14,0.41,0.82,3.95,2.5,7.27,4.59,0.59,0.45,2.05,0.27,0
283,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,28-071,1993,33.9,0.88,0.53,0.41,0.35,1.98,3.16,2.24,0.24,1.33,1.8,2.68,5.19,0.03
284,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,30-083,1991,19.9,1.01,0.75,0.4,1.21,2.71,1.11,4.87,5.38,1.11,0.25,1.26,0.15,0
285,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,23-259,1997,5.4,3.15,2.04,1.48,0.56,4.63,8.89,8.15,3.89,2.41,2.41,5.56,2.22,0.19
286,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,23-259,1997,11.8,1.69,1.19,0.42,1.78,8.14,7.8,11.9,6.27,1.44,1.69,3.39,1.69,0
287,Josh Maja\Josh-Maja,ng NGA,FW,Fulham,22-139,1998,8.5,0.82,0.71,0.24,0.59,3.65,0.94,5.41,6,0.47,0.47,1.29,0.24,0
288,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,29-035,1992,28.2,1.31,0.96,0.28,0.5,5,2.09,5.43,7.77,1.28,0.53,1.84,0.21,0
289,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,27-010,1994,9.2,2.93,1.52,0.98,0.65,3.59,4.78,5,3.59,1.85,0.87,3.8,2.28,0
290,Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,32-085,1989,6.8,1.32,0.59,0.29,0.59,2.79,4.41,3.24,1.62,2.79,1.03,2.35,3.38,0
291,Solly March\Solly-March,eng ENG,DF,Brighton,26-299,1994,18.6,3.01,1.88,0.81,0.97,3.82,4.62,4.52,3.76,2.69,1.02,4.03,0.86,0
292,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,27-257,1993,10,1.4,1.1,0.4,0.7,2.7,4.1,2.5,0.2,1.3,0.5,1.9,5.6,0
293,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,25-161,1995,16.4,0.06,0.06,0,0.43,2.56,0.79,2.38,5.85,1.34,0.24,0.3,0.55,0
294,Martinelli\Martinelli,br BRA,FW,Arsenal,19-331,2001,6.3,0.95,0.16,0.63,1.27,4.44,2.7,7.3,11,1.59,1.11,2.06,0.95,0
295,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,28-255,1992,35,0,0,0,0.03,0,0.14,0,0,0,0,0,0,0.03
296,Arthur Masuaku\Arthur-Masuaku,cd COD,DFFW,West Ham,27-189,1993,11.2,1.79,1.16,0.98,2.05,3.75,7.05,3.57,1.52,3.13,0.54,2.32,1.43,0
